,Household_Id,Air bricks [EUPATH_0000018],Animal-drawn cart [EUPATH_0000166],Bank account [EUPATH_0000167],Bed [ENVO_00000501],Bicycle [ENVO_01000614],Boat with a motor [EUPATH_0000179],Boat without a motor [EUPATH_0000170],Car or truck [EUPATH_0000171],Cassette player [ENVO_01000578],Chair [ENVO_01000586],Clock [ENVO_01000596],Cooking fuel [EUPATH_0000023],Cupboard [ENVO_01000595],Drinking water source [ENVO_00003064],Dwelling type [ENVO_01000744],Eaves [EUPATH_0000015],Electricity [EUPATH_0021084],Floor material [EUPATH_0000006],Food problems per week [EUPATH_0000029],"Household wealth index, categorical [EUPATH_0000143]",Landline phone [ENVO_01000582],Lighting source [OBI_0400065],Mobile phone [ENVO_01000581],Motorcycle or scooter [ENVO_01000615],Radio [ENVO_01000577],Refrigerator [ENVO_01000583],Roof material [EUPATH_0000003],Sofa [ENVO_01000588],Sub-county in Uganda [EUPATH_0000054],Table [ENVO_01000584],Television [ENVO_01000579],Wall material [EUPATH_0000009],Watch [EUPATH_0000186]
34,HH117010602,0,0,0,0,1,0,0,0,0,1,0,0,0,4,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,1,0,0,0
35,HH118002402,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
36,HH118003501,1,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,0,2,3,2,0,0,1,0,1,0,1,0,0,1,0,0,0
37,HH118005003,1,0,0,1,1,0,0,0,0,1,0,0,0,3,1,1,0,0,1,0,0,0,1,0,1,0,1,0,0,1,0,1,0
38,HH118006501,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,2,4,0,0,0,1,0,1,0,1,0,0,1,0,0,0
39,HH118007201,0,0,0,0,1,0,0,0,0,1,0,0,0,3,0,0,0,0,4,1,0,0,1,0,1,0,0,0,0,0,0,0,0
40,HH118009801,1,0,0,1,1,0,0,0,0,1,0,0,0,3,0,1,0,0,4,0,0,0,0,0,1,0,1,0,0,1,0,0,0
41,HH118010301,0,0,0,0,0,0,0,0,0,1,0,0,0,4,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0
42,HH119000901,1,0,0,1,1,0,0,0,0,1,0,0,0,3,1,1,0,0,3,0,0,0,1,0,1,0,1,0,0,0,0,1,0
43,HH119005003,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
44,HH119008702,0,0,0,1,1,0,0,0,0,1,0,0,0,3,0,1,0,0,3,1,0,0,1,0,0,0,1,0,0,1,0,0,0
45,HH120000201,0,0,0,1,1,0,0,0,0,1,0,0,0,3,0,1,0,0,3,1,0,0,1,0,0,0,1,0,0,0,0,0,0
46,HH120005401,0,0,0,1,1,0,0,0,0,1,0,0,0,3,0,0,0,0,0,2,0,0,1,0,1,0,0,0,0,1,0,0,1
47,HH122007301,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,2,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0
48,HH123006201,0,0,0,1,0,0,0,0,0,1,0,0,0,6,0,0,0,1,3,1,0,0,1,0,0,0,1,0,0,1,0,0,0
49,HH124001001,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,2,0,2,0,0,1,0,1,0,0,0,0,1,0,0,0
50,HH124003601,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0
51,HH125002201,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,3,1,0,0,0,0,0,0,1,0,0,0,0,0,0
52,HH125005001,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,1,0,0,2,0,0,0,0,0,1,0,1,0,0,1,0,0,0
53,HH125006301,0,0,0,0,1,0,0,0,0,1,1,0,1,1,0,0,0,0,2,2,0,0,0,0,0,0,0,1,0,1,0,0,1
54,HH126002301,1,0,0,1,1,0,0,0,0,1,0,0,0,4,1,1,0,2,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0
55,HH126002501,0,0,0,1,0,0,0,0,0,1,0,0,0,4,0,0,0,2,4,1,0,0,1,0,0,0,0,0,0,0,0,0,0
56,HH126003301,1,0,1,1,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0
57,HH126011401,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,1,0,0,1,0,0,0
58,HH128001701,0,0,0,1,0,0,0,0,0,1,0,0,0,5,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0
59,HH128003501,0,0,0,1,0,0,0,0,0,1,0,0,0,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
60,HH128003902,0,0,0,1,1,0,0,0,0,1,0,0,0,5,0,1,0,0,3,0,0,0,0,0,1,0,1,0,0,1,0,0,0
61,HH128011103,0,0,0,1,0,0,0,0,0,1,0,0,0,5,1,1,0,1,3,1,0,0,1,0,0,0,1,0,0,0,0,1,0
62,HH129006901,0,0,0,1,1,0,0,0,0,1,0,0,0,3,0,1,0,0,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0
63,HH129008005,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,3,1,0,0,0,0,1,0,0,0,0,1,0,0,0
64,HH130005601,0,0,0,1,1,0,0,0,0,1,0,0,0,5,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0
65,HH130008901,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,1,0,0,0
66,HH131008105,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0
67,HH131009502,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0
68,HH131011801,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0
69,HH131015301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0
70,HH132005501,1,0,0,1,1,0,0,0,0,1,0,0,0,0,1,1,0,2,3,2,0,0,1,0,1,0,1,0,0,1,0,1,0
71,HH132006402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,4,1,0,0,0,0,0,0,1,0,0,0,0,0,0
72,HH132007701,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,1,3,0,0,0,1,1,1,0,1,0,0,1,0,1,1
73,HH132012601,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
74,HH132016301,0,0,0,1,0,0,0,0,0,1,0,0,0,5,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,1,0,0,0
75,HH134001001,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,2,4,1,0,0,1,0,0,0,1,0,0,0,0,0,0
76,HH134002801,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,1,0,2,4,1,0,0,1,0,1,0,1,0,0,0,0,0,0
77,HH134002901,1,0,0,1,1,0,0,0,0,1,0,0,1,7,1,1,0,2,4,2,0,5,1,0,1,0,1,0,0,1,0,1,0
78,HH134007502,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0
79,HH134007801,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,3,1,0,0,1,0,0,0,1,0,0,0,0,0,0
80,HH134010901,1,0,0,1,0,0,0,0,0,1,0,0,0,4,1,1,0,2,3,1,0,4,0,0,1,0,1,0,0,1,0,1,0
81,HH134011901,1,0,1,1,1,0,0,0,0,1,1,0,1,1,1,1,0,1,0,2,0,3,1,1,1,0,1,1,0,1,1,1,0
82,HH135002401,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,2,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0
83,HH136003102,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,2,4,1,0,0,0,0,0,0,1,0,0,1,0,0,0
84,HH137000401,1,0,0,1,1,0,0,0,0,1,0,0,0,0,1,1,0,1,0,2,0,0,1,1,0,0,1,0,0,1,0,1,0
85,HH137004001,1,0,0,1,0,0,0,0,0,1,0,0,0,4,0,0,0,2,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0
86,HH137005902,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,2,2,0,0,0,0,0,1,0,0,0,0,1,0,0,0
87,HH138000401,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0
88,HH138000501,1,0,0,1,0,0,0,0,0,1,0,0,0,4,1,1,0,0,0,0,0,4,0,0,1,0,1,0,0,1,0,1,0
89,HH138002001,2,0,1,1,1,0,0,0,0,1,1,0,1,1,1,1,0,1,0,2,0,1,1,1,1,0,1,1,0,1,0,1,0
90,HH138003901,1,0,0,1,1,0,0,0,0,1,0,0,1,0,1,1,0,1,0,2,0,0,1,0,1,0,1,0,0,1,0,1,0
91,HH140005401,1,0,0,1,0,0,0,0,0,1,0,0,0,1,1,1,0,1,3,0,0,0,1,0,1,0,1,0,0,1,0,1,0
92,HH140005701,0,0,0,0,1,0,0,0,0,1,0,0,0,4,0,0,0,2,4,1,0,0,0,0,0,0,1,0,0,0,0,0,0
93,HH140005904,0,0,0,0,0,0,0,0,0,1,0,0,0,4,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
94,HH141001901,1,0,0,1,1,0,0,0,0,1,0,0,0,1,1,1,0,0,2,0,0,0,1,0,1,0,1,0,0,1,0,1,0
95,HH141005201,1,0,1,1,1,0,0,0,0,1,1,0,0,0,1,1,0,1,0,2,0,0,1,0,1,0,1,1,0,1,0,1,1
96,HH141012301,1,0,0,1,1,0,0,0,0,1,0,0,0,5,0,0,0,0,4,1,0,0,0,0,0,0,1,0,0,1,0,0,0
97,HH141014803,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,1,0,2,3,2,0,0,1,0,1,0,1,0,0,1,0,0,1
98,HH141016501,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,2,4,1,0,0,0,0,0,0,1,0,0,0,0,0,0
99,HH141017201,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,2,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
100,HH143000601,1,0,0,1,0,0,0,0,0,1,1,0,0,1,0,1,0,0,3,0,0,0,1,0,0,0,1,0,0,1,0,0,0
101,HH143001101,1,0,0,1,1,0,0,0,0,1,1,0,0,0,1,1,0,1,3,2,0,1,1,0,1,0,1,0,0,1,0,1,0
102,HH143006601,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,1,0,0,1,0,0,0
103,HH143006701,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,3,2,0,0,1,0,1,0,0,0,0,0,0,0,0
104,HH143009503,0,0,0,0,0,0,0,0,0,1,0,0,0,5,0,0,0,0,0,0,0,4,1,0,1,0,0,0,0,0,0,0,0
105,HH145001701,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0,0,0,1,0,1,0,0,0,0,0,0,0,0
106,HH146001002,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,2,4,1,0,0,1,0,0,0,1,0,0,1,0,0,0
107,HH201002408,0,0,0,1,0,0,0,0,0,1,0,1,0,2,0,0,0,2,2,1,0,0,1,0,0,0,1,0,1,0,0,0,0
108,HH201002558,0,0,0,1,0,0,0,0,0,1,0,0,0,2,0,1,0,2,3,1,0,1,0,0,0,0,1,0,1,0,0,0,0
109,HH201007601,1,0,0,1,0,0,0,0,0,0,0,1,0,2,1,1,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0
110,HH201008907,0,0,0,1,0,0,0,0,0,1,1,0,1,2,1,1,0,2,3,2,0,0,1,0,1,0,2,0,1,1,0,1,1
111,HH201018101,0,0,0,1,0,0,0,0,0,1,0,1,0,2,0,1,0,1,0,0,0,1,1,0,0,0,1,0,1,1,0,0,0
112,HH201018701,0,0,0,1,0,0,0,0,0,1,0,1,1,2,1,1,0,1,3,2,0,4,1,0,1,0,1,0,1,1,0,1,0
113,HH201022401,0,0,0,1,1,0,0,0,0,1,1,1,0,2,1,1,0,1,3,2,0,0,1,0,1,0,2,0,1,1,0,1,1
114,HH201026002,0,0,1,1,1,0,0,0,0,1,0,1,0,2,1,1,0,1,4,1,0,0,1,0,0,0,1,0,1,0,0,1,0
115,HH201027801,0,0,1,1,0,0,0,0,1,1,0,1,0,2,1,1,1,1,0,2,0,2,1,0,1,0,2,1,1,1,1,1,0
116,HH201029211,0,0,0,1,0,0,0,0,0,1,0,1,1,2,1,1,0,1,3,0,0,0,1,0,0,0,2,1,1,1,0,1,0
117,HH201029802,0,0,0,1,1,0,0,0,0,1,0,0,0,2,0,0,0,2,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0
118,HH201030015,0,0,0,1,0,0,0,0,0,1,0,1,0,2,0,0,0,2,3,1,0,0,1,0,0,0,2,0,1,1,0,1,0
119,HH201030403,0,0,0,1,0,0,0,0,0,1,1,1,1,2,1,1,0,2,3,2,0,0,1,0,1,0,2,1,1,1,0,1,0
120,HH201030404,0,0,0,1,0,0,0,0,0,1,0,1,1,2,1,1,0,1,3,0,0,0,0,0,0,0,2,0,1,1,1,1,1
121,HH201030932,0,0,0,0,0,0,0,0,0,1,0,1,0,2,0,1,0,2,3,1,0,0,1,0,1,0,0,0,1,0,0,0,0
122,HH201031206,0,0,0,0,0,0,0,0,0,1,0,1,1,2,0,1,0,2,3,0,0,4,1,0,0,0,1,0,1,1,0,0,0
123,HH201032570,0,0,1,1,0,0,0,0,1,0,0,1,1,2,1,1,0,1,0,2,0,2,1,0,1,0,1,1,1,1,1,1,1
124,HH201032576,2,0,0,1,0,0,0,0,0,1,0,0,1,2,1,1,0,1,1,2,0,0,1,0,1,0,1,0,1,1,0,1,0
125,HH201032656,0,0,0,1,0,0,0,0,0,1,0,0,0,2,0,0,0,2,3,0,0,0,1,0,1,0,1,0,1,1,0,0,1
126,HH201032805,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,1,0,2,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0
127,HH201033121,0,0,0,1,0,0,0,0,0,1,0,1,1,2,0,0,0,0,2,0,0,0,1,0,0,0,0,0,1,1,0,0,0
128,HH201033189,0,0,0,1,0,0,0,0,0,0,0,1,0,2,0,1,0,2,4,1,0,0,1,0,1,0,1,0,1,0,0,0,0
129,HH201033206,0,0,0,1,0,0,0,0,0,0,0,1,0,2,0,1,0,0,3,1,0,0,1,0,0,0,1,0,1,0,0,0,0
130,HH201033602,0,0,0,1,0,0,0,0,0,1,0,1,0,2,0,1,0,0,2,0,0,0,1,0,1,0,1,0,1,1,0,0,0
131,HH201034833,0,0,1,0,0,0,0,0,0,0,1,1,0,2,0,1,0,2,0,2,0,0,1,0,1,0,1,0,1,0,0,0,0
132,HH201035878,0,0,0,1,1,0,0,0,0,0,0,0,0,2,0,0,0,0,3,1,0,0,1,0,1,0,1,0,1,0,0,0,0
133,HH201036222,0,0,0,0,0,0,0,0,0,1,0,1,0,2,0,0,0,0,3,1,0,0,1,0,0,0,1,0,1,0,0,0,0
134,HH201036515,0,0,0,1,0,0,0,1,0,1,0,0,0,2,0,1,1,2,0,0,0,2,1,0,1,0,1,0,1,1,1,0,0
135,HH201036913,0,0,0,1,0,0,0,0,0,1,0,0,0,2,0,1,0,2,3,1,0,0,0,0,0,0,1,0,1,0,0,0,0
136,HH202000401,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,4,1,0,0,0,0,0,0,1,0,1,1,0,2,0
137,HH202003907,1,0,0,1,0,0,0,0,0,0,0,1,0,2,1,1,0,1,2,0,0,1,1,0,0,0,1,0,1,1,0,1,0
138,HH202004402,0,0,0,1,0,0,0,0,0,0,0,1,0,2,0,0,0,0,2,1,0,0,1,0,0,0,1,0,1,1,0,3,0
139,HH205002603,0,0,0,1,0,0,0,0,0,1,0,1,0,2,0,1,0,1,1,1,0,2,1,0,0,0,1,0,1,1,0,0,0
140,HH205005207,2,0,1,1,1,0,0,0,0,1,0,1,0,2,1,1,0,2,0,2,0,0,1,0,1,0,1,0,1,1,0,1,0
141,HH205005903,0,0,0,1,0,0,0,0,0,0,0,1,0,2,0,0,0,1,4,1,0,0,1,0,0,0,1,0,1,0,0,0,0
142,HH205006844,0,0,0,1,0,0,0,0,0,1,0,1,0,2,0,0,0,2,1,1,0,5,1,0,0,0,1,0,1,1,0,0,0
143,HH205010721,0,0,1,1,0,0,1,0,0,1,0,0,1,2,0,0,0,0,4,0,0,0,0,0,0,0,1,0,1,1,0,0,0
144,HH205011301,0,1,1,1,0,0,0,0,0,1,0,1,1,2,0,0,1,3,2,2,0,2,1,1,1,0,1,1,1,1,1,3,0
145,HH205014305,0,0,0,1,0,0,0,0,1,0,0,0,0,2,1,1,0,2,3,0,0,0,0,0,1,0,1,0,1,1,0,2,0
146,HH205014501,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,1,0,2,4,1,0,0,1,0,0,0,1,0,1,0,0,0,0
147,HH205015915,0,0,1,1,0,0,0,0,0,1,0,0,0,2,0,0,0,2,1,1,0,1,1,0,1,0,1,0,1,0,0,0,0
148,HH205016305,0,0,0,1,0,0,0,0,0,1,1,1,0,2,0,1,1,0,1,0,0,2,1,0,0,0,1,0,1,1,0,0,0
149,HH205016413,0,0,0,1,0,0,0,0,1,0,1,1,0,2,0,1,0,2,4,0,0,0,1,0,1,0,1,0,1,0,0,0,0
150,HH205016426,0,0,0,1,1,0,0,0,0,1,1,0,1,2,0,0,0,2,3,2,0,0,1,0,1,0,1,0,1,1,0,0,0
151,HH205016801,0,0,0,1,0,0,0,0,0,1,1,0,0,2,0,1,0,2,4,2,0,0,1,0,0,0,1,0,1,1,0,0,0
152,HH205019618,0,0,1,1,0,0,0,0,0,0,0,1,0,2,0,0,0,0,3,1,0,0,1,1,0,0,1,0,1,1,0,3,0
153,HH205020229,0,0,0,1,0,0,0,0,1,0,0,1,1,2,0,0,0,0,3,0,0,6,1,0,1,0,1,0,1,0,0,2,1
154,HH205020285,0,0,1,1,0,0,0,0,1,1,0,1,1,2,0,0,0,0,2,0,0,0,1,0,1,0,1,0,1,0,0,2,1
155,HH205021201,0,0,1,1,0,1,1,1,0,1,0,1,0,2,1,1,0,2,0,2,0,1,1,0,1,0,1,0,1,1,0,3,0
156,HH205021901,0,0,0,1,0,0,0,0,1,1,0,2,1,2,0,0,1,1,3,2,0,2,1,0,1,0,1,1,1,1,1,3,0
157,HH205026501,0,0,1,1,0,0,0,0,1,1,0,1,1,8,0,0,1,2,2,2,0,2,1,0,1,0,1,1,1,1,1,3,0
158,HH205029003,0,0,0,1,1,0,0,0,0,0,1,1,1,2,0,0,1,1,3,2,0,2,1,0,1,0,1,0,1,1,1,3,1
159,HH205029802,0,0,0,1,0,0,0,0,0,0,0,1,0,2,0,0,0,2,4,1,0,0,1,0,0,0,1,0,1,0,0,2,0
160,HH205037901,0,0,2,1,0,0,0,0,0,1,0,1,0,2,0,0,1,1,3,0,0,2,1,0,1,0,1,0,1,1,1,3,0
161,HH205038705,0,0,1,1,0,0,0,0,0,0,0,1,0,2,0,0,0,2,2,0,0,4,1,0,1,0,1,0,1,0,0,3,1
162,HH205038904,0,0,0,0,1,0,0,0,0,0,0,1,0,2,0,0,0,0,2,2,0,0,1,0,1,0,1,0,1,1,0,3,0
163,HH206002105,0,0,1,0,1,0,0,0,0,1,0,1,0,2,0,1,0,2,4,0,0,0,1,0,1,0,1,0,1,0,0,0,0
164,HH206004602,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,2,3,1,0,0,1,0,0,0,1,0,1,0,0,0,0
165,HH206004704,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,1,0,2,2,0,0,4,1,0,1,0,1,0,1,0,0,0,0
166,HH206008702,0,0,1,1,1,0,0,0,0,1,0,0,1,2,0,1,0,2,1,0,0,0,0,0,1,0,1,0,1,1,0,0,0
167,HH206010101,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,2,4,1,0,0,0,0,0,0,1,0,1,0,0,0,0
168,HH206010707,0,0,0,1,1,0,0,0,0,1,1,0,0,2,0,0,0,2,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0
169,HH206012102,0,0,0,1,0,0,0,0,0,1,0,1,0,2,0,1,0,0,4,1,0,0,1,0,0,0,1,0,1,1,0,0,0
170,HH206013101,0,0,0,1,0,0,0,0,0,1,1,1,1,2,0,1,0,2,2,2,0,0,1,0,1,0,1,1,1,1,0,0,0
171,HH206013307,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,2,4,1,0,0,0,0,0,0,1,0,1,0,0,0,0
172,HH206015401,0,0,0,1,1,0,0,0,0,0,0,0,0,2,0,0,0,2,1,1,0,0,0,0,1,0,1,0,1,0,0,0,1
173,HH206016107,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,1,0,2,4,1,0,0,0,0,0,0,1,0,1,0,0,0,0
